Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
WSN,NL,2021,724,820,65,0.337,0.417,0.258,0,,,162,0.329,0.447
ARI,NL,2020,269,295,25,0.312,0.391,0.241,0,,,60,0.336,0.462
ATL,NL,2020,348,288,35,0.349,0.483,0.268,1,,,60,0.324,0.403
BAL,AL,2020,274,294,25,0.321,0.429,0.258,0,,,60,0.32,0.422
BOS,AL,2020,292,351,24,0.33,0.445,0.265,0,,,60,0.365,0.484
CHC,NL,2020,265,240,34,0.318,0.387,0.22,1,,,60,0.303,0.399
CHW,AL,2020,306,246,35,0.326,0.453,0.261,1,,,60,0.308,0.375
CIN,NL,2020,243,243,31,0.312,0.403,0.212,1,,,60,0.302,0.372
CLE,AL,2020,248,209,35,0.317,0.372,0.228,1,,,60,0.293,0.388
COL,NL,2020,275,353,26,0.311,0.405,0.257,0,,,60,0.353,0.477
DET,AL,2020,249,318,23,0.303,0.397,0.245,0,,,58,0.339,0.464
HOU,NL,2020,279,275,29,0.312,0.408,0.24,1,,,60,0.318,0.407
KCR,AL,2020,248,272,26,0.309,0.402,0.244,0,,,60,0.332,0.415
LAA,AL,2020,294,321,26,0.332,0.43,0.248,0,,,60,0.316,0.43
LAD,NL,2020,349,213,43,0.338,0.483,0.256,1,,,60,0.276,0.359
MIA,NL,2020,263,304,31,0.319,0.384,0.244,1,,,60,0.34,0.45
MIL,NL,2020,247,264,29,0.313,0.389,0.223,1,,,60,0.306,0.384
MIN,AL,2020,269,215,36,0.315,0.427,0.242,1,,,60,0.3,0.368
NYM,NL,2020,286,308,26,0.348,0.459,0.272,0,,,60,0.336,0.438
NYY,AL,2020,315,270,33,0.342,0.447,0.247,1,,,60,0.305,0.421
OAK,AL,2020,274,232,36,0.322,0.396,0.225,1,,,60,0.308,0.408
PHI,NL,2020,306,311,28,0.342,0.439,0.257,0,,,60,0.347,0.468
PIT,NL,2020,219,298,19,0.284,0.357,0.22,0,,,60,0.332,0.416
SDP,NL,2020,325,241,37,0.333,0.466,0.257,1,,,60,0.308,0.391
SEA,AL,2020,254,303,27,0.309,0.37,0.226,0,,,60,0.333,0.425
SFG,NL,2020,299,297,29,0.335,0.451,0.263,0,,,60,0.322,0.41
STL,NL,2020,240,229,30,0.323,0.371,0.234,1,,,58,0.31,0.389
TBR,AL,2020,289,229,40,0.328,0.425,0.238,1,,,60,0.311,0.4
TEX,AL,2020,224,312,22,0.285,0.364,0.217,0,,,60,0.329,0.419
TOR,AL,2020,302,312,32,0.325,0.441,0.255,1,,,60,0.339,0.437
WSN,NL,2020,293,301,26,0.336,0.433,0.264,0,,,60,0.347,0.467
ARI,NL,2019,813,743,85,0.323,0.434,0.252,0,,,162,0.32,0.432
ATL,NL,2019,855,743,97,0.336,0.452,0.258,1,,,162,0.328,0.419
BAL,AL,2019,729,981,54,0.31,0.415,0.246,0,,,162,0.342,0.497
BOS,AL,2019,901,828,84,0.34,0.466,0.269,0,,,162,0.33,0.431
CHC,NL,2019,814,717,84,0.331,0.452,0.252,0,,,162,0.323,0.414
CHW,AL,2019,708,832,72,0.314,0.414,0.261,0,,,161,0.337,0.452
CIN,NL,2019,701,711,75,0.315,0.422,0.244,0,,,162,0.31,0.41
CLE,AL,2019,769,657,93,0.323,0.432,0.25,0,,,162,0.304,0.419
COL,NL,2019,835,958,71,0.326,0.456,0.265,0,,,162,0.348,0.492
DET,AL,2019,582,915,47,0.294,0.388,0.24,0,,,161,0.342,0.478
HOU,NL,2019,920,640,107,0.352,0.495,0.274,1,,,162,0.286,0.398
KCR,AL,2019,691,869,59,0.309,0.401,0.247,0,,,162,0.348,0.456
LAA,AL,2019,769,868,72,0.324,0.422,0.247,0,,,162,0.331,0.459
LAD,NL,2019,886,613,106,0.338,0.472,0.257,1,,,162,0.283,0.379
MIA,NL,2019,615,808,57,0.298,0.375,0.241,0,,,162,0.329,0.435
MIL,NL,2019,769,766,89,0.329,0.438,0.246,1,,,162,0.321,0.425
MIN,AL,2019,939,754,101,0.338,0.494,0.27,1,,,162,0.318,0.421
NYM,NL,2019,791,737,86,0.328,0.442,0.257,0,,,162,0.317,0.418
NYY,AL,2019,943,739,103,0.339,0.49,0.267,1,,,162,0.313,0.434
OAK,AL,2019,845,680,97,0.327,0.448,0.249,1,,,162,0.307,0.405
PHI,NL,2019,774,794,81,0.319,0.427,0.246,0,,,162,0.332,0.453
PIT,NL,2019,758,911,69,0.321,0.42,0.265,0,,,162,0.343,0.47
SDP,NL,2019,682,789,70,0.308,0.41,0.238,0,,,162,0.315,0.43
SEA,AL,2019,758,893,68,0.316,0.424,0.237,0,,,162,0.326,0.469
SFG,NL,2019,678,773,77,0.302,0.392,0.239,0,,,162,0.318,0.428
STL,NL,2019,764,662,91,0.322,0.415,0.245,1,,,162,0.314,0.397
TBR,AL,2019,769,656,96,0.325,0.431,0.254,1,,,162,0.294,0.385
TEX,AL,2019,810,878,78,0.319,0.431,0.248,0,,,162,0.342,0.464
TOR,AL,2019,726,828,67,0.305,0.428,0.236,0,,,162,0.337,0.451
WSN,NL,2019,873,724,93,0.342,0.454,0.265,1,,,162,0.312,0.41
ARI,NL,2018,693,644,82,0.31,0.397,0.235,0,,,162,0.31,0.388
ATL,NL,2018,759,657,90,0.324,0.417,0.257,1,,,162,0.316,0.372
BAL,AL,2018,622,892,47,0.298,0.391,0.239,0,,,162,0.349,0.471
BOS,AL,2018,876,647,108,0.339,0.453,0.268,1,,,162,0.307,0.385
CHC,NL,2018,761,645,95,0.333,0.41,0.258,1,,,163,0.322,0.375
CHW,AL,2018,656,848,62,0.302,0.401,0.241,0,,,162,0.34,0.422
CIN,NL,2018,696,819,67,0.328,0.401,0.254,0,,,162,0.332,0.449
CLE,AL,2018,818,648,91,0.332,0.434,0.259,1,,,162,0.302,0.418
COL,NL,2018,780,745,91,0.322,0.435,0.256,1,,,163,0.319,0.415
DET,AL,2018,630,796,64,0.3,0.38,0.241,0,,,162,0.323,0.439
HOU,NL,2018,797,534,103,0.329,0.425,0.255,1,,,162,0.282,0.356
KCR,AL,2018,638,833,58,0.305,0.392,0.245,0,,,162,0.342,0.446
LAA,AL,2018,721,722,80,0.313,0.413,0.242,0,,,162,0.322,0.415
LAD,NL,2018,804,610,92,0.333,0.442,0.25,1,,,163,0.29,0.376
MIA,NL,2018,589,809,63,0.303,0.357,0.237,0,,,161,0.333,0.424
MIL,NL,2018,754,659,96,0.323,0.424,0.252,1,,,163,0.307,0.381
MIN,AL,2018,738,775,78,0.318,0.405,0.25,0,,,162,0.332,0.423
NYM,NL,2018,676,707,77,0.312,0.389,0.234,0,,,162,0.313,0.398
NYY,AL,2018,851,669,100,0.329,0.451,0.249,1,,,162,0.305,0.39
OAK,AL,2018,813,674,97,0.325,0.439,0.252,1,,,162,0.301,0.393
PHI,NL,2018,677,728,80,0.314,0.393,0.234,0,,,162,0.316,0.407
PIT,NL,2018,692,693,82,0.317,0.407,0.254,0,,,161,0.319,0.407
SDP,NL,2018,617,767,66,0.297,0.38,0.235,0,,,162,0.324,0.417
SEA,AL,2018,677,711,89,0.314,0.408,0.254,0,,,162,0.308,0.418
SFG,NL,2018,603,699,73,0.3,0.368,0.239,0,,,162,0.318,0.404
STL,NL,2018,759,691,88,0.321,0.409,0.249,0,,,162,0.324,0.378
TBR,AL,2018,716,646,90,0.333,0.406,0.258,0,,,162,0.3,0.377
TEX,AL,2018,737,848,67,0.318,0.404,0.24,0,,,162,0.335,0.464
TOR,AL,2018,709,832,73,0.312,0.427,0.244,0,,,162,0.335,0.446
WSN,NL,2018,771,682,82,0.335,0.419,0.254,0,,,162,0.311,0.411
ARI,NL,2017,812,659,93,0.329,0.445,0.254,0,,,162,0.311,0.4
ATL,NL,2017,732,821,72,0.326,0.412,0.263,0,,,162,0.339,0.438
BAL,AL,2017,743,841,75,0.312,0.435,0.26,0,,,162,0.342,0.458
BOS,AL,2017,785,668,93,0.329,0.407,0.258,1,,,162,0.309,0.41
CHC,NL,2017,822,695,92,0.338,0.437,0.255,1,,,162,0.316,0.399
CHW,AL,2017,706,820,67,0.314,0.417,0.256,0,,,162,0.337,0.45
CIN,NL,2017,753,869,68,0.329,0.433,0.253,0,,,162,0.345,0.465
CLE,AL,2017,818,564,102,0.339,0.449,0.263,1,,,162,0.294,0.379
COL,NL,2017,824,757,87,0.338,0.444,0.273,1,,,162,0.333,0.441
DET,AL,2017,735,894,64,0.324,0.424,0.258,0,,,162,0.348,0.463
HOU,NL,2017,896,700,101,0.346,0.478,0.282,1,,,162,0.311,0.405
KCR,AL,2017,702,791,80,0.311,0.42,0.259,0,,,162,0.331,0.434
LAA,AL,2017,710,709,80,0.315,0.397,0.243,0,,,162,0.314,0.429
LAD,NL,2017,770,580,104,0.334,0.437,0.249,1,,,162,0.288,0.383
MIA,NL,2017,778,822,77,0.331,0.431,0.267,0,,,162,0.344,0.432
MIL,NL,2017,732,697,86,0.322,0.429,0.249,0,,,162,0.326,0.414
MIN,AL,2017,815,788,85,0.334,0.434,0.26,1,,,162,0.33,0.447
NYM,NL,2017,735,863,70,0.32,0.434,0.25,0,,,162,0.345,0.448
NYY,AL,2017,858,660,91,0.339,0.447,0.262,1,,,162,0.296,0.377
OAK,AL,2017,739,826,75,0.319,0.436,0.246,0,,,162,0.327,0.439
PHI,NL,2017,690,782,66,0.315,0.409,0.25,0,,,162,0.333,0.447
PIT,NL,2017,668,731,75,0.318,0.386,0.244,0,,,162,0.33,0.431
SDP,NL,2017,604,816,71,0.299,0.393,0.234,0,,,162,0.333,0.441
SEA,AL,2017,750,772,78,0.325,0.424,0.259,0,,,162,0.318,0.435
SFG,NL,2017,639,776,64,0.309,0.38,0.249,0,,,162,0.331,0.438
STL,NL,2017,761,705,83,0.334,0.426,0.256,0,,,162,0.32,0.411
TBR,AL,2017,694,704,80,0.317,0.422,0.245,0,,,162,0.309,0.403
TEX,AL,2017,799,816,78,0.32,0.43,0.244,0,,,162,0.335,0.434
TOR,AL,2017,693,784,76,0.312,0.412,0.24,0,,,162,0.326,0.429
WSN,NL,2017,819,672,97,0.332,0.449,0.266,1,,,162,0.307,0.393
ARI,NL,2016,752,890,69,0.32,0.432,0.261,0,,,162,0.348,0.454
ATL,NL,2016,649,779,68,0.321,0.384,0.255,0,,,161,0.328,0.416
BAL,AL,2016,744,715,89,0.317,0.443,0.256,1,,,162,0.328,0.422
BOS,AL,2016,878,694,93,0.348,0.461,0.282,1,,,162,0.314,0.398
CHC,NL,2016,808,556,103,0.343,0.429,0.256,1,,,162,0.286,0.347
CHW,AL,2016,686,715,78,0.317,0.41,0.257,0,,,162,0.326,0.419
CIN,NL,2016,716,854,68,0.316,0.408,0.256,0,,,162,0.345,0.456
CLE,AL,2016,777,676,94,0.329,0.43,0.262,1,,,161,0.303,0.403
COL,NL,2016,845,860,75,0.336,0.457,0.275,0,,,162,0.345,0.446
DET,AL,2016,750,721,86,0.331,0.438,0.267,0,,,161,0.32,0.421
HOU,NL,2016,724,701,84,0.319,0.417,0.247,0,,,162,0.314,0.424
KCR,AL,2016,675,712,81,0.312,0.4,0.261,0,,,162,0.327,0.423
LAA,AL,2016,717,727,74,0.322,0.405,0.26,0,,,162,0.334,0.44
LAD,NL,2016,725,638,91,0.319,0.409,0.249,1,,,162,0.3,0.377
MIA,NL,2016,655,682,79,0.322,0.394,0.263,0,,,161,0.329,0.394
MIL,NL,2016,671,733,73,0.322,0.407,0.244,0,,,162,0.333,0.426
MIN,AL,2016,722,889,59,0.316,0.421,0.251,0,,,162,0.34,0.466
NYM,NL,2016,671,617,87,0.316,0.417,0.246,1,,,162,0.311,0.394
NYY,AL,2016,680,702,84,0.315,0.405,0.252,0,,,162,0.31,0.424
OAK,AL,2016,653,761,69,0.304,0.395,0.246,0,,,162,0.322,0.422
PHI,NL,2016,610,796,71,0.301,0.384,0.24,0,,,162,0.325,0.448
PIT,NL,2016,729,758,78,0.332,0.402,0.257,0,,,162,0.336,0.436
SDP,NL,2016,686,770,68,0.299,0.39,0.235,0,,,162,0.33,0.422
SEA,AL,2016,768,707,86,0.326,0.43,0.259,0,,,162,0.314,0.425
SFG,NL,2016,715,631,87,0.329,0.398,0.258,1,,,162,0.301,0.39
STL,NL,2016,779,712,86,0.325,0.442,0.255,0,,,162,0.32,0.402
TBR,AL,2016,672,713,68,0.307,0.426,0.243,0,,,162,0.318,0.416
TEX,AL,2016,765,757,95,0.322,0.433,0.262,1,,,162,0.329,0.426
TOR,AL,2016,759,666,89,0.33,0.426,0.248,1,,,162,0.301,0.393
WSN,NL,2016,763,612,95,0.326,0.426,0.256,1,,,162,0.301,0.376
ARI,NL,2015,720,713,79,0.324,0.414,0.264,0,,,162,0.322,0.423
ATL,NL,2015,573,760,67,0.314,0.359,0.251,0,,,162,0.339,0.426
BAL,AL,2015,713,693,81,0.307,0.421,0.25,0,,,162,0.321,0.418
BOS,AL,2015,748,753,78,0.325,0.415,0.265,0,,,162,0.327,0.424
CHC,NL,2015,689,608,97,0.321,0.398,0.244,1,,,162,0.29,0.375
CHW,AL,2015,622,701,76,0.306,0.38,0.25,0,,,162,0.322,0.41
CIN,NL,2015,640,754,64,0.312,0.394,0.248,0,,,162,0.328,0.42
CLE,AL,2015,669,640,81,0.325,0.401,0.256,0,,,161,0.297,0.386
COL,NL,2015,737,844,68,0.315,0.432,0.265,0,,,162,0.353,0.461
DET,AL,2015,689,803,74,0.328,0.42,0.27,0,,,161,0.33,0.444
HOU,NL,2015,729,618,86,0.315,0.437,0.25,1,,,162,0.299,0.383
KCR,AL,2015,724,641,95,0.322,0.412,0.269,1,,,162,0.313,0.395
LAA,AL,2015,661,675,85,0.307,0.396,0.246,0,,,162,0.313,0.396
LAD,NL,2015,667,595,92,0.326,0.413,0.25,1,,,162,0.296,0.372
MIA,NL,2015,613,678,71,0.31,0.384,0.26,0,,,162,0.322,0.396
MIL,NL,2015,655,737,68,0.307,0.393,0.251,0,,,162,0.329,0.422
MIN,AL,2015,696,700,83,0.305,0.399,0.247,0,,,162,0.321,0.418
NYM,NL,2015,683,613,90,0.312,0.4,0.244,1,,,162,0.294,0.373
NYY,AL,2015,764,698,87,0.323,0.421,0.251,1,,,162,0.316,0.407
OAK,AL,2015,694,729,68,0.312,0.395,0.251,0,,,162,0.316,0.4
PHI,NL,2015,626,809,63,0.303,0.382,0.249,0,,,162,0.341,0.445
PIT,NL,2015,697,596,98,0.323,0.396,0.26,1,,,162,0.311,0.361
SDP,NL,2015,650,731,74,0.3,0.385,0.243,0,,,162,0.321,0.414
SEA,AL,2015,656,726,76,0.311,0.411,0.249,0,,,162,0.322,0.412
SFG,NL,2015,696,627,84,0.326,0.406,0.267,0,,,162,0.305,0.395
STL,NL,2015,647,525,100,0.321,0.394,0.253,1,,,162,0.31,0.37
TBR,AL,2015,644,642,80,0.314,0.406,0.252,0,,,162,0.304,0.385
TEX,AL,2015,751,733,88,0.325,0.413,0.257,1,,,162,0.327,0.419
TOR,AL,2015,891,670,93,0.34,0.457,0.269,1,,,162,0.303,0.402
WSN,NL,2015,703,635,83,0.321,0.403,0.251,0,,,162,0.301,0.384
ARI,NL,2014,615,742,64,0.302,0.376,0.248,0,,,162,0.326,0.414
ATL,NL,2014,573,597,79,0.305,0.36,0.241,0,,,162,0.312,0.37
BAL,AL,2014,705,593,96,0.311,0.422,0.256,1,,,162,0.309,0.383
BOS,AL,2014,634,715,71,0.316,0.369,0.244,0,,,162,0.321,0.409
CHC,NL,2014,614,707,73,0.3,0.385,0.239,0,,,162,0.318,0.376
CHW,AL,2014,660,758,73,0.31,0.398,0.253,0,,,162,0.337,0.401
CIN,NL,2014,595,612,76,0.296,0.365,0.238,0,,,162,0.309,0.383
CLE,AL,2014,669,653,85,0.317,0.389,0.253,0,,,162,0.312,0.385
COL,NL,2014,755,818,66,0.327,0.445,0.276,0,,,162,0.342,0.443
DET,AL,2014,757,705,90,0.331,0.426,0.277,1,,,162,0.321,0.402
HOU,NL,2014,629,723,70,0.309,0.383,0.242,0,,,162,0.323,0.396
KCR,AL,2014,651,624,89,0.314,0.376,0.263,1,,,162,0.31,0.374
LAA,AL,2014,773,630,98,0.322,0.406,0.259,0,,,162,0.304,0.351
LAD,NL,2014,718,617,94,0.333,0.406,0.265,1,,,162,0.3,0.378
MIA,NL,2014,645,674,77,0.317,0.378,0.253,0,,,162,0.323,0.39
MIL,NL,2014,650,657,82,0.311,0.397,0.25,0,,,162,0.307,0.393
MIN,AL,2014,715,777,70,0.324,0.389,0.254,0,,,162,0.33,0.428
NYM,NL,2014,629,618,79,0.308,0.364,0.239,0,,,162,0.315,0.382
NYY,AL,2014,633,664,84,0.307,0.38,0.245,0,,,162,0.305,0.395
OAK,AL,2014,729,572,88,0.32,0.381,0.244,1,,,162,0.291,0.357
PHI,NL,2014,619,687,73,0.302,0.363,0.242,0,,,162,0.321,0.387
PIT,NL,2014,682,631,88,0.33,0.404,0.259,1,,,162,0.319,0.371
SDP,NL,2014,535,577,77,0.292,0.342,0.226,0,,,162,0.304,0.362
SEA,AL,2014,634,554,87,0.3,0.376,0.244,0,,,162,0.295,0.356
SFG,NL,2014,665,614,88,0.311,0.388,0.255,1,,,162,0.294,0.378
STL,NL,2014,619,603,90,0.32,0.369,0.253,1,,,162,0.309,0.366
TBR,AL,2014,612,625,77,0.317,0.367,0.247,0,,,162,0.3,0.362
TEX,AL,2014,637,773,67,0.314,0.375,0.256,0,,,162,0.336,0.428
TOR,AL,2014,723,686,83,0.323,0.414,0.259,0,,,162,0.318,0.407
WSN,NL,2014,686,555,96,0.321,0.393,0.253,1,,,162,0.293,0.355
ARI,NL,2013,685,695,81,0.323,0.391,0.259,0,,,162,0.32,0.411
ATL,NL,2013,688,548,96,0.321,0.402,0.249,1,,,162,0.303,0.375
BAL,AL,2013,745,709,85,0.313,0.431,0.26,0,,,162,0.321,0.428
BOS,AL,2013,853,656,97,0.349,0.446,0.277,1,,,162,0.315,0.388
CHC,NL,2013,602,689,66,0.3,0.392,0.238,0,,,162,0.318,0.4
CHW,AL,2013,598,723,63,0.302,0.378,0.249,0,,,162,0.322,0.408
CIN,NL,2013,698,589,90,0.327,0.391,0.249,1,,,162,0.299,0.387
CLE,AL,2013,745,662,92,0.327,0.41,0.255,1,,,162,0.322,0.386
COL,NL,2013,706,760,74,0.323,0.418,0.27,0,,,162,0.34,0.423
DET,AL,2013,796,624,93,0.346,0.434,0.283,1,,,162,0.306,0.372
HOU,NL,2013,610,848,51,0.299,0.375,0.24,0,,,162,0.347,0.445
KCR,AL,2013,648,601,86,0.315,0.379,0.26,0,,,162,0.311,0.387
LAA,AL,2013,733,737,78,0.329,0.414,0.264,0,,,162,0.328,0.408
LAD,NL,2013,649,582,92,0.326,0.396,0.264,1,,,162,0.304,0.361
MIA,NL,2013,513,646,62,0.293,0.335,0.231,0,,,162,0.319,0.384
MIL,NL,2013,640,687,74,0.311,0.398,0.252,0,,,162,0.317,0.397
MIN,AL,2013,614,788,66,0.312,0.38,0.242,0,,,162,0.336,0.434
NYM,NL,2013,619,684,74,0.306,0.366,0.237,0,,,162,0.316,0.393
NYY,AL,2013,650,671,85,0.307,0.376,0.242,0,,,162,0.318,0.413
OAK,AL,2013,767,625,96,0.327,0.419,0.254,1,,,162,0.299,0.377
PHI,NL,2013,610,749,73,0.306,0.384,0.248,0,,,162,0.331,0.415
PIT,NL,2013,634,577,94,0.313,0.396,0.245,1,,,162,0.308,0.341
SDP,NL,2013,618,700,76,0.308,0.378,0.245,0,,,162,0.322,0.403
SEA,AL,2013,624,754,71,0.306,0.39,0.237,0,,,162,0.319,0.417
SFG,NL,2013,629,691,76,0.32,0.381,0.26,0,,,162,0.32,0.39
STL,NL,2013,783,596,97,0.332,0.401,0.269,1,,,162,0.307,0.364
TBR,AL,2013,700,646,92,0.329,0.408,0.257,1,,,163,0.307,0.381
TEX,AL,2013,730,636,91,0.323,0.412,0.262,0,,,163,0.313,0.387
TOR,AL,2013,712,756,74,0.318,0.411,0.252,0,,,162,0.324,0.426
WSN,NL,2013,656,626,86,0.313,0.398,0.251,0,,,162,0.305,0.379
ARI,NL,2012,734,688,81,0.328,0.418,0.259,0,,,162,0.317,0.415
ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4.0,5.0,162,0.306,0.378
BAL,AL,2012,712,705,93,0.311,0.417,0.247,1,5.0,4.0,162,0.315,0.403
BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428
CHC,NL,2012,613,759,61,0.302,0.378,0.24,0,,,162,0.335,0.424
CHW,AL,2012,748,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405
CIN,NL,2012,669,588,97,0.315,0.411,0.251,1,2.0,4.0,162,0.305,0.39
CLE,AL,2012,667,845,68,0.324,0.381,0.251,0,,,162,0.336,0.43
COL,NL,2012,758,890,64,0.33,0.436,0.274,0,,,162,0.357,0.47
DET,AL,2012,726,670,88,0.335,0.422,0.268,1,6.0,2.0,162,0.314,0.402
HOU,NL,2012,583,794,55,0.302,0.371,0.236,0,,,162,0.337,0.427
KCR,AL,2012,676,746,72,0.317,0.4,0.265,0,,,162,0.339,0.423
LAA,AL,2012,767,699,89,0.332,0.433,0.274,0,,,162,0.31,0.403
LAD,NL,2012,637,597,86,0.317,0.374,0.252,0,,,162,0.31,0.364
MIA,NL,2012,609,724,69,0.308,0.382,0.244,0,,,162,0.327,0.399
MIL,NL,2012,776,733,83,0.325,0.437,0.259,0,,,162,0.326,0.414
MIN,AL,2012,701,832,66,0.325,0.39,0.26,0,,,162,0.333,0.442
NYM,NL,2012,650,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401
NYY,AL,2012,804,668,95,0.337,0.453,0.265,1,3.0,3.0,162,0.311,0.419
OAK,AL,2012,713,614,94,0.31,0.404,0.238,1,4.0,4.0,162,0.306,0.378
PHI,NL,2012,684,680,81,0.317,0.4,0.255,0,,,162,0.306,0.407
PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39
SDP,NL,2012,651,710,76,0.319,0.38,0.247,0,,,162,0.319,0.398
SEA,AL,2012,619,651,75,0.296,0.369,0.234,0,,,162,0.308,0.394
SFG,NL,2012,718,649,94,0.327,0.397,0.269,1,4.0,1.0,162,0.313,0.393
STL,NL,2012,765,648,88,0.338,0.421,0.271,1,6.0,3.0,162,0.313,0.387
TBR,AL,2012,697,577,90,0.317,0.394,0.24,0,,,162,0.294,0.352
TEX,AL,2012,808,707,93,0.334,0.446,0.273,1,5.0,5.0,162,0.309,0.408
TOR,AL,2012,716,784,73,0.309,0.407,0.245,0,,,162,0.335,0.438
